nom_de_commune,code_departement,code_commune
SAINT-ETIENNE-DU-BOIS,1,350
CHEVRY,1,103
DIVONNE-LES-BAINS,1,143
PERON,1,288
VALSERHONE,1,33
CULOZ,1,138
ST-GENIS-POUILLY,1,354
ST-GENIS-POUILLY,1,354
DIVONNE-LES-BAINS,1,143
ST-GENIS-POUILLY,1,354
PERON,1,288
OYONNAX,1,283
ST-GERMAIN-DE-JOUX,1,357
GEX,1,173
VALSERHONE,1,33
DIVONNE-LES-BAINS,1,143
AMBERIEU-EN-BUGEY,1,4
CESSY,1,71
SAULT-BRENAZ,1,396
FERNEY-VOLTAIRE,1,160
CHEVRY,1,103
SEGNY,1,399
LAGNIEU,1,202
LE POIZAT-LALLEYRIAT,1,204
GEX,1,173
ST-GENIS-POUILLY,1,354
AMBERIEU-EN-BUGEY,1,4
BELLEY,1,34
ORNEX,1,281
ST-GENIS-POUILLY,1,354
FERNEY-VOLTAIRE,1,160
CULOZ,1,138
LAGNIEU,1,202
DORTAN,1,148
AMBERIEU-EN-BUGEY,1,4
BELLEY,1,34
LAGNIEU,1,202
FERNEY-VOLTAIRE,1,160
FERNEY-VOLTAIRE,1,160
PREVESSIN-MOENS,1,313
BRENOD,1,60
AMBERIEU-EN-BUGEY,1,4
SAINT-JEAN-LE-VIEUX,1,363
FERNEY-VOLTAIRE,1,160
NANTUA,1,269
SAINT-DENIS-EN-BUGEY,1,345
THOIRY,1,419
OYONNAX,1,283
BELLIGNAT,1,31
ST-GENIS-POUILLY,1,354
PREVESSIN-MOENS,1,313
FERNEY-VOLTAIRE,1,160
PLATEAU D'HAUTEVILLE,1,185
GEX,1,173
FERNEY-VOLTAIRE,1,160
ST-GENIS-POUILLY,1,354
ST-GENIS-POUILLY,1,354
LELEX,1,210
BELLEY,1,34
SEGNY,1,399
GEX,1,173
AMBERIEU-EN-BUGEY,1,4
VALSERHONE,1,33
ORNEX,1,281
CESSY,1,71
GEX,1,173
LAGNIEU,1,202
PREVESSIN-MOENS,1,313
GEX,1,173
VESANCY,1,436
VALSERHONE,1,33
THOIRY,1,419
THOIRY,1,419
IZERNORE,1,192
AMBERIEU-EN-BUGEY,1,4
AMBERIEU-EN-BUGEY,1,4
ST-GENIS-POUILLY,1,354
FERNEY-VOLTAIRE,1,160
ORNEX,1,281
ECHENEVEX,1,153
CHEVRY,1,103
PREVESSIN-MOENS,1,313
PREVESSIN-MOENS,1,313
THOIRY,1,419
VERSONNEX,1,435
VALSERHONE,1,33
DIVONNE-LES-BAINS,1,143
AMBERIEU-EN-BUGEY,1,4
VALSERHONE,1,33
VALSERHONE,1,33
DIVONNE-LES-BAINS,1,143
GEX,1,173
SAINT-VULBAS,1,390
FERNEY-VOLTAIRE,1,160
BELLEY,1,34
OYONNAX,1,283
FERNEY-VOLTAIRE,1,160
GEX,1,173
AMBERIEU-EN-BUGEY,1,4
COLLONGES,1,109
ECHENEVEX,1,153
ORNEX,1,281
CHAMPAGNE-EN-VALROMEY,1,79
ST-GENIS-POUILLY,1,354
JUJURIEUX,1,199
VALSERHONE,1,33
MATAFELON-GRANGES,1,240
VALSERHONE,1,33
THOIRY,1,419
OYONNAX,1,283
VALSERHONE,1,33
HAUT-VALROMEY,1,187
NANTUA,1,269
PREVESSIN-MOENS,1,313
CESSY,1,71
OYONNAX,1,283
ARBENT,1,14
VALSERHONE,1,33
SAINT-VULBAS,1,390
GEX,1,173
BELLEY,1,34
CULOZ,1,138
LOYETTES,1,224
FERNEY-VOLTAIRE,1,160
THOIRY,1,419
DIVONNE-LES-BAINS,1,143
FERNEY-VOLTAIRE,1,160
LELEX,1,210
FERNEY-VOLTAIRE,1,160
JUJURIEUX,1,199
VALSERHONE,1,33
GEX,1,173
CHEVRY,1,103
CESSY,1,71
VALSERHONE,1,33
VALSERHONE,1,33
ST-GENIS-POUILLY,1,354
DIVONNE-LES-BAINS,1,143
VALSERHONE,1,33
GEX,1,173
LAGNIEU,1,202
ST-GENIS-POUILLY,1,354
SEGNY,1,399
AMBERIEU-EN-BUGEY,1,4
BELLEY,1,34
ST-GENIS-POUILLY,1,354
MIJOUX,1,247
FERNEY-VOLTAIRE,1,160
SERGY,1,401
AMBERIEU-EN-BUGEY,1,4
VALSERHONE,1,33
VALSERHONE,1,33
BELLIGNAT,1,31
FERNEY-VOLTAIRE,1,160
VALSERHONE,1,33
GEX,1,173
ORNEX,1,281
THOIRY,1,419
GEX,1,173
SERGY,1,401
FERNEY-VOLTAIRE,1,160
ST-GENIS-POUILLY,1,354
DIVONNE-LES-BAINS,1,143
THOIRY,1,419
VALSERHONE,1,33
ST-GENIS-POUILLY,1,354
BELLEY,1,34
PREVESSIN-MOENS,1,313
CESSY,1,71
DIVONNE-LES-BAINS,1,143
BELLEY,1,34
DIVONNE-LES-BAINS,1,143
CESSY,1,71
DIVONNE-LES-BAINS,1,143
GEX,1,173
LAGNIEU,1,202
FARGES,1,158
